periodo_orbital,duracion_transito,profundidad,pl_radio,insolacion,st_radio,st_temperatura,st_gravedad,pl_temperatura_eq,RA,DEC,mission,object_id,label
4.125543472,3.1744,1487.3,4.43,565.35,1.103,6174.0,4.417,1243.0,291.93616,49.253979,Kepler,K00766.01,CONFIRMED
2.816504904,2.50587,16814.0,12.21,521.13,0.955,5532.0,4.452,1219.0,297.01547,49.225288,Kepler,K00767.01,CONFIRMED
33.93373447,14.561,8503.7,7.34,8.11,0.705,5040.0,4.628,430.0,284.17233,49.360722,Kepler,K00768.01,FALSE POSITIVE
3.689920099,2.6557,426.7,1.89,408.99,0.917,5880.0,4.518,1147.0,291.62241,50.61824,Kepler,K00786.01,CONFIRMED
4.431238488,3.15,1010.9,3.25,351.23,1.015,5714.0,4.428,1104.0,295.81616,51.121738,Kepler,K00787.01,CONFIRMED
11.37936986,2.6255,1023.5,3.95,99.68,1.015,5714.0,4.428,806.0,295.81616,51.121738,Kepler,K00787.02,CONFIRMED
26.39432897,3.573,1510.9,3.07,13.49,0.763,5129.0,4.595,489.0,289.39972,51.25032,Kepler,K00788.01,CONFIRMED
13.57078281,3.3539,511.7,2.64,89.61,1.012,5854.0,4.406,785.0,300.86398,44.337551,Kepler,K00116.01,CONFIRMED
7.12594387,3.0014,192.4,1.79,233.31,1.087,5779.0,4.339,997.0,287.88733,46.276241,Kepler,K00115.02,CONFIRMED
7.442652004,2.3078,24446.0,15.03,206.78,0.956,6108.0,4.469,967.0,288.98682,49.733742,Kepler,K00774.01,FALSE POSITIVE
16.38489988,3.0249,1127.1,2.0,8.35,0.615,4126.0,4.661,433.0,286.73804,49.97575,Kepler,K00775.01,CONFIRMED
7.8774163,2.0805,1306.1,2.16,22.18,0.615,4126.0,4.661,553.0,286.73804,49.97575,Kepler,K00775.02,CONFIRMED
36.4454001,4.007,1122.3,1.99,2.88,0.615,4126.0,4.661,332.0,286.73804,49.97575,Kepler,K00775.03,CONFIRMED
3.728732147,2.683,5226.5,6.02,258.34,0.809,5497.0,4.577,1023.0,290.78574,50.054119,Kepler,K00776.01,CONFIRMED
40.4195037,3.362,6256.0,7.51,11.29,0.781,5446.0,4.507,467.0,294.31686,50.080231,Kepler,K00777.01,CANDIDATE
2.243380573,1.1196,821.7,1.99,107.6,0.564,4149.0,4.698,822.0,285.17621,50.149818,Kepler,K00778.01,CONFIRMED
10.405998015,6.5036,14489.0,11.23,113.94,0.924,5746.0,4.393,833.0,289.23553,50.241001,Kepler,K00779.01,FALSE POSITIVE
2.337437946,1.9982,971.2,2.34,311.16,0.765,5005.0,4.595,1070.0,293.83331,50.23035,Kepler,K00780.01,CONFIRMED
7.2406612,0.558,556.4,19.45,68.63,0.765,5005.0,4.595,734.0,293.83331,50.23035,Kepler,K00780.02,CANDIDATE
3.43591631,3.133,23.2,0.55,617.61,1.087,5779.0,4.339,1272.0,287.88733,46.276241,Kepler,K00115.03,CANDIDATE
11.59822233,2.5237,2804.5,2.65,5.82,0.473,3688.0,4.79,396.0,296.22195,50.28722,Kepler,K00781.01,CONFIRMED
